Time [min],Capstan speed [m/min],Preform feed rate [mm/min],Temperature [C],Tension [g],Preform Pressure [mBar],Diameter [mm],Diameter X [um],Diameter Y [um]
20.975358,19.695730,3.999684,199.949490,56.926997,1.756891,303.000000,304.000000,304.000000
20.988740,19.874227,4.009876,200.051490,57.844837,2.266777,302.000000,303.000000,303.000000
21.002038,19.899726,4.009876,200.000490,55.779697,1.858868,303.000000,301.000000,303.000000
21.015386,19.823228,4.020068,200.204490,57.003483,1.858868,307.000000,306.000000,307.000000
21.028705,20.231221,3.999684,199.796490,57.156457,1.960845,305.000000,303.000000,304.000000
21.042052,20.205721,4.009876,199.796490,53.944017,2.266777,301.000000,302.000000,301.000000
21.055421,20.129223,4.030260,199.745489,58.915650,2.164799,302.000000,301.000000,302.000000
21.068697,20.562716,3.999684,199.592489,54.096991,1.654914,302.000000,301.000000,302.000000
21.082050,20.486217,3.999684,199.592489,57.003483,1.552937,299.000000,300.000000,299.000000
21.095415,20.537216,4.020068,199.796490,55.703210,2.266777,301.000000,301.000000,301.000000
21.108729,20.664714,3.999684,199.592489,58.839163,1.960845,301.000000,301.000000,302.000000
21.122164,20.588215,4.014972,199.796490,55.856184,1.858868,305.000000,304.000000,305.000000
21.135373,20.690213,3.994588,199.643489,55.014830,1.858868,303.000000,303.000000,304.000000
21.148688,20.690213,4.014972,199.796490,55.779697,2.062822,301.000000,300.000000,301.000000
21.162032,20.919710,4.009876,199.847490,57.844837,2.062822,295.000000,305.000000,303.000000
21.175374,20.843211,4.025164,200.000490,55.703210,2.164799,302.000000,302.000000,303.000000
21.188760,20.894210,3.999684,199.898490,56.926997,1.756891,303.000000,304.000000,304.000000
21.202037,20.996208,4.014972,199.796490,55.091317,1.858868,300.000000,301.000000,301.000000
21.215385,20.996208,4.009876,199.847490,57.768350,2.470731,303.000000,301.000000,302.000000
21.228706,21.072707,4.004780,199.745489,56.697537,2.368754,309.000000,307.000000,309.000000
21.242057,21.098207,3.994588,199.694489,57.079970,1.450960,301.000000,301.000000,301.000000
21.255421,21.098207,4.014972,199.541489,56.697537,2.470731,305.000000,303.000000,305.000000
21.268717,21.480701,4.014972,199.694489,55.856184,1.756891,306.000000,303.000000,305.000000
21.282012,21.429701,4.025164,199.745489,56.621050,2.266777,302.000000,302.000000,303.000000
21.295362,21.557199,3.999684,199.541489,58.992136,-0.180672,300.000000,300.000000,301.000000
21.308694,21.812195,4.014972,199.388489,57.691863,0.227236,301.000000,299.000000,300.000000
21.322116,21.812195,4.014972,199.082488,57.079970,-0.180672,302.000000,302.000000,303.000000
21.335416,22.041691,3.994588,198.776488,57.079970,-0.282649,303.000000,303.000000,305.000000
21.348705,21.939693,4.035356,198.776488,58.686190,0.125259,303.000000,301.000000,305.000000
21.362040,21.965193,3.999684,198.419487,60.062950,-0.180672,300.000000,299.000000,302.000000
21.375403,22.092691,0.014659,198.470488,54.020504,-0.078695,293.000000,291.000000,295.000000
21.388783,22.092691,0.014659,198.419487,44.842105,0.023282,295.000000,293.000000,297.000000
21.402039,7.736425,0.029947,198.470488,44.842105,0.023282,295.000000,293.000000,297.000000
21.415384,7.863923,0.004468,198.164487,44.842105,0.023282,295.000000,293.000000,297.000000
21.428682,7.812924,0.014659,198.368487,44.842105,0.023282,295.000000,293.000000,297.000000
21.442026,-0.040948,0.029947,198.317487,44.765619,0.023282,295.000000,293.000000,297.000000
21.455404,-0.015448,0.014659,198.164487,44.842105,0.023282,295.000000,293.000000,297.000000
21.468675,0.086550,0.004468,197.756487,45.071565,-0.078695,295.000000,293.000000,297.000000
21.482028,0.061051,0.004468,197.450486,45.071565,0.125259,295.000000,293.000000,297.000000
21.495347,0.010051,0.004468,197.552486,44.689132,0.329213,295.000000,293.000000,297.000000
21.508711,-0.066447,0.029947,197.552486,44.765619,0.227236,295.000000,293.000000,297.000000
21.522103,-0.066447,0.024851,197.603486,44.842105,0.227236,295.000000,293.000000,297.000000
21.535368,0.010051,0.014659,197.348486,44.842105,0.023282,295.000000,293.000000,297.000000
21.548690,0.061051,0.004468,196.991485,44.995079,0.023282,295.000000,293.000000,297.000000
21.562050,-0.015448,0.014659,197.144486,44.842105,0.023282,295.000000,293.000000,297.000000
21.575366,0.086550,0.004468,196.889485,45.148052,-0.180672,295.000000,293.000000,297.000000
21.588765,0.086550,-0.000628,196.583485,45.071565,-0.180672,295.000000,293.000000,297.000000
21.602034,0.086550,0.004468,196.685485,44.995079,-0.180672,295.000000,293.000000,298.000000
21.615420,0.061051,0.004468,196.328484,45.071565,-0.180672,295.000000,293.000000,298.000000
21.628701,0.035551,0.014659,196.583485,44.918592,0.227236,295.000000,293.000000,297.000000
21.642083,0.010051,0.014659,196.430485,44.842105,-0.180672,295.000000,293.000000,297.000000
21.655424,0.010051,0.009564,196.379485,44.765619,0.227236,295.000000,293.000000,298.000000
21.668712,0.010051,0.009564,196.328484,44.995079,-0.282649,295.000000,293.000000,297.000000
21.682057,0.086550,-0.000628,196.073484,45.148052,-0.180672,295.000000,293.000000,297.000000
21.695393,-0.015448,0.019755,196.073484,44.918592,0.125259,295.000000,293.000000,298.000000
21.708765,-0.066447,0.024851,196.226484,44.842105,0.125259,295.000000,293.000000,297.000000
21.722120,0.035551,0.009564,195.971484,44.612645,0.227236,295.000000,293.000000,297.000000
21.735384,0.010051,0.014659,195.869484,44.918592,0.227236,295.000000,293.000000,297.000000
21.748680,0.061051,-0.005724,195.563483,45.148052,-0.282649,295.000000,293.000000,298.000000
21.762086,-0.040948,0.029947,195.767484,44.842105,-0.078695,295.000000,293.000000,297.000000
21.775418,0.010051,0.014659,195.716484,44.842105,0.125259,295.000000,293.000000,298.000000
21.788762,0.035551,0.009564,195.410483,44.918592,0.023282,295.000000,293.000000,298.000000
21.802082,-0.015448,0.019755,195.155483,44.918592,0.125259,295.000000,293.000000,298.000000
21.815369,0.010051,0.014659,195.257483,44.842105,-0.180672,295.000000,293.000000,298.000000
21.828705,0.010051,0.009564,195.002482,45.071565,-0.282649,295.000000,293.000000,297.000000
21.842072,-0.015448,0.019755,195.002482,44.689132,0.329213,295.000000,293.000000,297.000000
21.855406,0.086550,0.004468,194.492482,44.995079,-0.180672,295.000000,293.000000,297.000000
21.868713,0.035551,0.009564,194.594482,45.071565,-0.180672,295.000000,293.000000,297.000000
21.882038,0.010051,0.009564,194.339482,44.918592,-0.180672,295.000000,293.000000,297.000000
21.895376,-0.066447,0.024851,194.237481,44.765619,0.329213,295.000000,293.000000,297.000000
21.908691,-0.040948,0.024851,194.084481,44.689132,0.329213,295.000000,293.000000,297.000000
21.922092,0.035551,0.019755,193.880481,44.918592,0.023282,295.000000,293.000000,297.000000
21.935399,0.035551,0.014659,193.829481,44.842105,-0.282649,295.000000,293.000000,297.000000
21.948702,0.010051,0.014659,193.676481,44.689132,0.227236,295.000000,293.000000,297.000000
21.962039,-0.015448,0.014659,193.472480,44.842105,-0.180672,295.000000,293.000000,297.000000
21.975372,-0.040948,0.029947,193.472480,44.689132,-0.078695,295.000000,293.000000,297.000000
21.988775,0.010051,0.014659,193.217480,44.765619,0.227236,295.000000,293.000000,297.000000
22.002084,0.010051,0.009564,193.115480,44.842105,0.125259,295.000000,293.000000,297.000000
22.015412,0.061051,-0.005724,192.758479,44.995079,0.125259,295.000000,293.000000,297.000000
22.028687,0.086550,0.004468,192.707479,44.842105,0.125259,295.000000,293.000000,297.000000
22.042058,0.061051,0.004468,192.707479,45.148052,-0.180672,295.000000,293.000000,297.000000
22.055445,-0.040948,0.029947,192.656479,44.842105,0.125259,295.000000,293.000000,297.000000
22.068689,0.061051,0.009564,192.452479,44.689132,0.329213,295.000000,293.000000,297.000000
22.082082,0.010051,0.009564,192.146478,44.842105,0.023282,295.000000,293.000000,297.000000
22.095358,0.010051,0.014659,192.146478,44.918592,0.329213,295.000000,293.000000,298.000000
22.108727,0.061051,0.004468,191.891478,44.842105,0.125259,295.000000,293.000000,298.000000
22.122095,0.010051,0.019755,191.840478,44.918592,0.125259,295.000000,293.000000,298.000000
22.135358,0.035551,0.019755,191.636478,44.842105,-0.282649,295.000000,293.000000,298.000000
22.148728,-0.015448,0.014659,191.687478,44.918592,0.227236,295.000000,293.000000,298.000000
22.162025,0.061051,-0.000628,191.330477,44.918592,0.227236,295.000000,293.000000,298.000000
22.175371,0.010051,0.014659,191.432477,44.842105,0.023282,295.000000,293.000000,298.000000
22.188774,-0.015448,0.019755,191.126477,44.765619,0.227236,295.000000,293.000000,298.000000
22.202111,0.010051,0.019755,191.024477,44.918592,0.125259,295.000000,293.000000,298.000000
22.215417,0.035551,0.014659,190.820476,44.918592,-0.180672,295.000000,293.000000,298.000000
22.228779,-0.015448,0.014659,190.718476,44.995079,-0.180672,295.000000,293.000000,298.000000
22.242091,0.061051,-0.000628,190.514476,45.071565,0.023282,295.000000,293.000000,298.000000
22.255481,0.086550,0.009564,190.259476,44.918592,0.023282,295.000000,293.000000,298.000000
22.268749,0.035551,0.004468,190.208475,45.071565,-0.180672,295.000000,293.000000,298.000000
22.282092,0.010051,0.014659,190.157475,44.918592,0.329213,295.000000,293.000000,298.000000
22.295462,-0.015448,0.024851,190.208475,44.689132,0.023282,295.000000,293.000000,298.000000
22.308765,-0.066447,0.024851,189.953475,44.689132,0.227236,295.000000,293.000000,298.000000
22.322173,0.035551,0.009564,189.851475,44.995079,-0.180672,295.000000,293.000000,298.000000
22.335407,0.010051,0.014659,189.647475,44.689132,0.227236,295.000000,293.000000,298.000000
22.348784,-0.040948,0.029947,189.647475,44.765619,0.023282,295.000000,293.000000,298.000000
22.362075,-0.066447,0.029947,189.647475,44.612645,0.125259,295.000000,293.000000,298.000000
22.375426,0.010051,0.014659,189.341474,44.842105,-0.180672,295.000000,293.000000,298.000000
22.388825,0.035551,0.004468,189.035474,45.148052,0.125259,295.000000,293.000000,298.000000
22.402091,0.061051,-0.000628,188.933474,45.148052,-0.180672,295.000000,293.000000,298.000000
22.415443,-0.066447,0.029947,188.984474,44.765619,0.023282,295.000000,293.000000,298.000000
22.428762,-0.015448,0.004468,188.831473,45.071565,-0.180672,295.000000,293.000000,298.000000
22.442117,0.061051,0.019755,188.576473,44.918592,0.023282,295.000000,293.000000,298.000000
22.455509,-0.040948,0.029947,188.678473,44.612645,0.227236,295.000000,293.000000,298.000000
22.468754,0.035551,0.009564,188.372473,44.842105,0.227236,295.000000,293.000000,298.000000
22.482116,-0.015448,0.009564,188.372473,44.842105,-0.180672,295.000000,293.000000,298.000000
22.495409,-0.015448,0.004468,188.168473,45.071565,-0.180672,295.000000,293.000000,298.000000
22.508768,0.035551,0.014659,188.066472,44.689132,0.227236,295.000000,293.000000,298.000000
22.522163,0.086550,-0.000628,187.862472,45.148052,-0.282649,295.000000,293.000000,298.000000
22.535441,0.086550,-0.000628,187.760472,45.148052,-0.180672,295.000000,293.000000,298.000000
22.548756,-0.066447,0.024851,187.760472,44.689132,0.227236,295.000000,293.000000,298.000000
22.562129,0.010051,0.009564,187.607472,44.918592,0.023282,295.000000,293.000000,298.000000
22.575481,0.010051,0.019755,187.301471,44.918592,0.227236,295.000000,293.000000,298.000000
22.588824,-0.040948,0.019755,187.403471,44.995079,-0.078695,295.000000,293.000000,298.000000
22.602127,-0.015448,0.009564,187.199471,44.842105,0.023282,295.000000,293.000000,298.000000
22.615453,-0.066447,0.009564,187.250471,44.842105,0.023282,295.000000,293.000000,298.000000
22.628788,0.035551,0.019755,186.842471,44.918592,0.125259,295.000000,293.000000,298.000000
22.642107,0.035551,0.029947,186.944471,44.689132,0.227236,295.000000,293.000000,298.000000
22.655542,-0.066447,0.029947,186.842471,44.765619,0.227236,295.000000,293.000000,298.000000
22.668835,-0.066447,0.024851,186.893471,44.765619,0.329213,295.000000,293.000000,298.000000
22.682114,-0.015448,0.019755,186.587470,44.918592,0.125259,295.000000,293.000000,298.000000
22.695458,0.010051,0.009564,186.536470,44.918592,0.227236,295.000000,293.000000,298.000000
22.708781,0.035551,0.009564,186.434470,44.918592,0.125259,295.000000,293.000000,298.000000
22.722492,-0.040948,0.029947,186.485470,44.765619,0.023282,295.000000,293.000000,298.000000
22.735618,0.010051,0.014659,186.179470,44.842105,0.023282,295.000000,293.000000,298.000000
22.748817,0.010051,0.004468,186.128470,44.918592,0.329213,295.000000,293.000000,298.000000
22.762112,0.061051,-0.000628,185.975469,45.071565,-0.282649,295.000000,293.000000,298.000000
22.775448,0.061051,0.004468,185.720469,45.071565,0.023282,295.000000,293.000000,298.000000
22.788949,0.035551,0.014659,185.873469,44.842105,0.227236,295.000000,293.000000,298.000000
22.802115,0.035551,0.009564,185.720469,44.689132,0.227236,295.000000,293.000000,298.000000
22.815635,-0.015448,0.009564,185.516469,44.918592,0.125259,295.000000,293.000000,298.000000
22.828773,0.010051,0.014659,185.465469,44.842105,0.023282,295.000000,293.000000,298.000000
22.842089,-0.015448,0.014659,185.567469,44.918592,0.125259,295.000000,293.000000,298.000000
22.855494,-0.015448,0.009564,185.465469,44.842105,0.023282,295.000000,293.000000,298.000000
22.868774,0.010051,0.014659,185.363468,44.842105,0.227236,295.000000,293.000000,298.000000
22.882200,-0.066447,0.024851,185.363468,44.765619,0.329213,295.000000,293.000000,298.000000
22.895503,-0.066447,0.019755,185.261468,44.842105,0.125259,295.000000,293.000000,298.000000
22.908969,0.010051,0.014659,184.955468,44.842105,0.227236,295.000000,293.000000,298.000000
22.922320,-0.066447,0.019755,185.108468,44.842105,0.023282,295.000000,293.000000,298.000000
22.935509,0.010051,0.029947,184.955468,44.689132,0.227236,295.000000,293.000000,298.000000
22.948776,0.035551,-0.005724,184.649467,45.148052,-0.180672,295.000000,293.000000,298.000000
22.962318,0.010051,0.019755,184.649467,44.918592,0.023282,295.000000,293.000000,298.000000
22.975442,-0.066447,0.024851,184.700467,44.765619,0.431190,295.000000,293.000000,298.000000
22.988834,-0.066447,0.024851,184.700467,44.689132,0.023282,295.000000,293.000000,298.000000
23.002319,-0.066447,0.029947,184.598467,44.765619,0.023282,295.000000,293.000000,298.000000
23.015449,0.010051,0.014659,184.547467,44.995079,-0.180672,295.000000,293.000000,298.000000
23.028760,0.010051,0.019755,184.292467,44.918592,0.023282,295.000000,293.000000,298.000000
23.042289,-0.015448,0.009564,184.241467,44.918592,0.023282,295.000000,293.000000,298.000000
23.055506,0.010051,-0.000628,184.139467,45.148052,-0.282649,295.000000,293.000000,298.000000
23.068784,0.010051,0.014659,184.088467,44.918592,0.329213,295.000000,293.000000,298.000000
23.082117,0.035551,0.019755,184.037466,44.765619,0.227236,295.000000,293.000000,298.000000
23.095440,0.035551,0.009564,183.935466,44.842105,-0.282649,295.000000,293.000000,298.000000
23.108781,0.035551,0.009564,183.884466,44.842105,0.023282,295.000000,293.000000,298.000000
23.122340,0.010051,0.014659,183.833466,44.918592,0.023282,295.000000,293.000000,298.000000
23.135641,0.010051,0.009564,183.731466,44.918592,0.227236,295.000000,293.000000,298.000000
23.148943,0.086550,0.004468,183.527466,45.071565,-0.180672,295.000000,293.000000,298.000000
23.162219,0.035551,-0.000628,183.578466,45.071565,-0.180672,295.000000,293.000000,298.000000
23.175457,-0.066447,0.029947,183.629466,44.765619,0.023282,295.000000,293.000000,298.000000
23.188823,-0.066447,0.029947,183.629466,44.842105,0.125259,295.000000,293.000000,298.000000
23.202140,0.061051,0.004468,183.425466,45.071565,-0.180672,295.000000,293.000000,298.000000
23.215488,-0.015448,0.014659,183.323465,44.918592,0.125259,295.000000,293.000000,298.000000
23.228874,-0.040948,0.009564,183.374465,44.842105,0.125259,296.000000,293.000000,298.000000
23.242377,0.061051,0.014659,183.017465,44.995079,0.125259,296.000000,293.000000,298.000000
23.255541,0.010051,0.014659,183.119465,45.071565,-0.180672,295.000000,293.000000,298.000000
23.268898,-0.015448,0.024851,183.068465,44.689132,0.431190,295.000000,293.000000,298.000000
23.282385,-0.066447,0.024851,183.272465,44.689132,0.227236,295.000000,293.000000,298.000000
23.295533,0.086550,0.004468,182.813465,45.071565,0.023282,295.000000,293.000000,298.000000
23.308851,0.061051,0.014659,182.762465,44.918592,0.023282,295.000000,293.000000,298.000000
23.322468,0.010051,0.014659,182.864465,44.842105,0.023282,295.000000,293.000000,298.000000
23.335451,0.061051,0.014659,182.609464,44.918592,0.023282,295.000000,293.000000,298.000000
23.348819,-0.066447,0.019755,182.711465,44.918592,0.023282,295.000000,293.000000,298.000000
23.362267,-0.066447,0.024851,182.762465,44.842105,0.329213,295.000000,293.000000,298.000000
23.375633,0.010051,0.004468,182.609464,45.071565,-0.282649,295.000000,293.000000,298.000000
23.388997,0.010051,0.019755,182.303464,44.842105,0.125259,295.000000,293.000000,298.000000
23.402184,0.010051,0.014659,182.405464,44.918592,0.125259,295.000000,293.000000,298.000000
23.415465,0.035551,-0.000628,182.201464,44.995079,0.125259,295.000000,293.000000,298.000000
23.428771,-0.040948,0.024851,182.456464,44.689132,0.023282,295.000000,293.000000,298.000000
23.442090,0.035551,0.019755,182.201464,44.689132,0.227236,295.000000,293.000000,298.000000
23.455578,0.010051,0.014659,182.252464,44.918592,0.125259,295.000000,293.000000,298.000000
23.468797,-0.040948,0.024851,182.252464,44.689132,0.125259,296.000000,293.000000,298.000000
23.482163,0.035551,0.019755,182.048464,44.842105,0.125259,295.000000,293.000000,298.000000
23.495502,0.010051,0.024851,182.048464,44.689132,0.227236,295.000000,293.000000,298.000000
23.508942,-0.040948,0.019755,181.997463,44.459672,0.227236,295.000000,293.000000,298.000000
23.522187,0.061051,-0.000628,181.742463,45.071565,-0.282649,295.000000,293.000000,298.000000
23.535541,-0.040948,0.014659,181.844463,44.842105,0.023282,295.000000,293.000000,298.000000
23.548761,0.035551,0.014659,181.589463,44.918592,0.023282,295.000000,293.000000,298.000000
