Time,Capstan speed,Preform feed rate,Temperature,Tension,Preform Pressure,Diameter,Diameter X,Diameter Y
[min],[m/min],[mm/min],[ºC],[g],[mBar],[mm],[um],[um]
13.360214,9.138902,4.020068,200.255490,51.878878,-0.078695,299.000000,301.000000,298.000000
13.373564,9.113403,4.035356,200.204490,52.720231,0.227236,300.000000,300.000000,299.000000
13.386889,9.215401,4.014972,200.153490,51.955364,-0.078695,300.000000,302.000000,300.000000
13.400222,9.215401,4.014972,200.255490,53.867531,-0.180672,299.000000,300.000000,299.000000
13.413652,9.240901,3.999684,200.102490,55.091317,0.125259,299.000000,300.000000,299.000000
13.426895,9.368398,3.999684,200.102490,52.796717,0.023282,298.000000,298.000000,298.000000
13.440229,9.317399,3.999684,200.153490,52.949691,-0.282649,297.000000,297.000000,296.000000
13.453575,9.240901,4.030260,200.153490,50.731578,0.227236,298.000000,300.000000,297.000000
13.466871,9.215401,4.009876,199.847490,54.861857,0.023282,296.000000,297.000000,295.000000
13.480254,9.215401,4.004780,199.694489,50.961038,0.023282,295.000000,298.000000,293.000000
13.493547,9.164402,3.999684,199.796490,52.031851,0.023282,298.000000,299.000000,294.000000
13.506899,9.036904,4.020068,200.051490,52.643744,0.329213,296.000000,298.000000,293.000000
13.520265,9.087903,4.009876,200.051490,51.878878,0.125259,297.000000,296.000000,292.000000
13.533563,9.138902,4.004780,200.000490,54.173477,-0.180672,303.000000,304.000000,298.000000
13.546942,9.164402,3.999684,199.898490,52.031851,-0.078695,297.000000,294.000000,292.000000
13.560221,8.934906,4.025164,200.204490,51.955364,0.125259,298.000000,303.000000,295.000000
13.573542,9.062403,3.999684,200.000490,52.720231,0.023282,297.000000,301.000000,293.000000
13.586898,9.087903,3.999684,200.051490,51.878878,0.023282,300.000000,301.000000,296.000000
13.600204,8.934906,4.030260,200.204490,54.785370,0.227236,289.000000,293.000000,284.000000
13.613628,9.011404,4.009876,200.051490,52.720231,0.227236,314.000000,317.000000,311.000000
13.626878,8.832907,4.025164,200.153490,52.873204,0.125259,292.000000,297.000000,292.000000
13.640251,8.960405,3.999684,200.051490,54.861857,0.023282,302.000000,300.000000,297.000000
13.653567,8.934906,4.014972,200.153490,50.884551,-0.282649,301.000000,306.000000,300.000000
13.666929,8.832907,4.030260,200.255490,52.796717,0.125259,304.000000,302.000000,301.000000
13.680327,8.807408,4.025164,200.153490,53.867531,0.227236,302.000000,304.000000,301.000000
13.693570,8.832907,4.025164,200.306490,50.578604,0.125259,302.000000,304.000000,299.000000
13.706914,8.807408,4.025164,200.306490,52.796717,0.227236,301.000000,300.000000,300.000000
13.720267,8.934906,4.004780,200.204490,54.020504,-0.180672,300.000000,303.000000,301.000000
13.733647,9.062403,3.999684,200.306490,51.114011,-0.180672,297.000000,297.000000,296.000000
13.746988,8.985905,4.020068,200.408490,55.703210,0.431190,302.000000,300.000000,301.000000
13.760253,9.062403,3.999684,200.510491,52.031851,-0.180672,304.000000,303.000000,304.000000
13.773570,9.011404,4.014972,200.510491,51.802391,0.329213,299.000000,300.000000,299.000000
13.786915,9.011404,4.009876,200.561491,54.861857,0.023282,301.000000,300.000000,302.000000
13.800192,8.934906,4.025164,200.612491,51.725904,0.227236,304.000000,298.000000,302.000000
13.813663,9.062403,4.009876,200.561491,52.796717,0.023282,318.000000,311.000000,315.000000
13.826904,9.036904,4.009876,200.408490,53.944017,0.023282,307.000000,300.000000,304.000000
13.840262,9.011404,4.014972,200.408490,51.878878,0.023282,302.000000,303.000000,301.000000
13.853601,9.087903,3.999684,200.000490,54.096991,-0.078695,302.000000,303.000000,301.000000
13.866879,9.011404,4.014972,199.898490,51.878878,0.023282,302.000000,302.000000,301.000000
13.880318,9.087903,4.025164,199.592489,52.796717,0.227236,304.000000,306.000000,303.000000
13.893571,9.113403,4.014972,199.694489,51.878878,-0.180672,301.000000,304.000000,299.000000
13.906933,9.087903,4.009876,199.643489,53.791044,0.329213,302.000000,306.000000,301.000000
13.920251,9.087903,4.020068,199.745489,54.938344,-0.180672,300.000000,304.000000,298.000000
13.933576,9.087903,4.014972,199.847490,50.731578,0.329213,301.000000,302.000000,296.000000
13.946979,9.189901,4.009876,199.694489,55.856184,0.023282,301.000000,302.000000,299.000000
13.960240,9.138902,4.014972,200.153490,50.884551,0.023282,299.000000,304.000000,298.000000
13.973583,9.266400,4.004780,199.898490,52.949691,0.125259,303.000000,305.000000,301.000000
13.986949,9.138902,4.009876,200.306490,53.944017,0.023282,305.000000,307.000000,304.000000
14.000269,9.240901,4.004780,200.051490,53.791044,0.125259,303.000000,305.000000,303.000000
14.013644,9.164402,4.009876,200.306490,52.796717,0.023282,301.000000,301.000000,300.000000
14.026924,9.164402,4.020068,200.408490,53.867531,0.023282,302.000000,302.000000,301.000000
14.040264,9.266400,3.994588,200.102490,53.944017,-0.282649,300.000000,300.000000,300.000000
14.053597,9.368398,4.025164,200.204490,51.802391,0.023282,302.000000,302.000000,301.000000
14.066909,9.342899,4.025164,200.408490,55.550237,0.329213,304.000000,304.000000,304.000000
14.080331,9.266400,4.009876,200.357490,51.955364,0.023282,302.000000,302.000000,301.000000
14.093634,9.240901,4.025164,200.408490,54.785370,0.227236,305.000000,304.000000,303.000000
14.110254,9.291900,4.020068,200.765491,53.638071,0.227236,305.000000,307.000000,304.000000
14.123620,9.317399,4.040452,200.408490,52.720231,0.227236,301.000000,306.000000,300.000000
14.136925,9.444897,3.994588,200.306490,54.938344,0.023282,302.000000,304.000000,301.000000
14.150259,9.444897,4.025164,200.357490,52.643744,0.431190,304.000000,305.000000,302.000000
14.163669,9.444897,4.025164,200.255490,51.649418,0.227236,304.000000,307.000000,302.000000
14.176942,9.470397,4.020068,200.306490,55.932670,0.125259,307.000000,306.000000,303.000000
14.190171,9.674393,4.004780,200.000490,56.085644,-0.078695,303.000000,305.000000,300.000000
14.203593,9.648894,4.004780,200.102490,55.014830,0.023282,303.000000,305.000000,300.000000
14.216830,9.699893,4.014972,200.204490,52.873204,0.125259,303.000000,304.000000,299.000000
14.230301,9.648894,4.009876,200.408490,54.861857,0.023282,301.000000,305.000000,299.000000
14.243521,9.699893,4.014972,200.357490,53.561584,-0.078695,301.000000,303.000000,299.000000
14.256881,9.827391,4.014972,200.408490,54.020504,0.431190,301.000000,303.000000,299.000000
14.270176,9.801891,4.009876,200.612491,54.785370,-0.078695,302.000000,305.000000,300.000000
14.283541,9.878390,4.020068,200.663491,52.796717,-0.180672,302.000000,302.000000,299.000000
14.296952,9.954889,3.994588,200.510491,55.014830,-0.180672,300.000000,302.000000,298.000000
14.310175,9.878390,4.030260,200.612491,52.643744,0.227236,290.000000,290.000000,285.000000
14.323549,9.980388,3.999684,200.612491,54.249964,0.023282,308.000000,311.000000,306.000000
14.336857,9.903890,4.009876,200.714491,56.774023,-0.078695,303.000000,309.000000,303.000000
14.350207,9.852891,4.025164,200.918491,52.643744,0.125259,300.000000,308.000000,299.000000
14.363630,9.954889,3.994588,200.765491,55.091317,-0.282649,304.000000,308.000000,301.000000
14.376843,9.954889,4.004780,200.714491,57.921323,0.125259,303.000000,306.000000,300.000000
14.390241,10.158886,3.999684,200.612491,54.938344,0.023282,304.000000,308.000000,303.000000
14.403549,10.107886,4.020068,200.663491,52.796717,0.023282,301.000000,304.000000,298.000000
14.416912,10.031388,4.020068,200.765491,53.944017,0.125259,301.000000,308.000000,300.000000
14.430292,10.260884,4.004780,200.561491,56.850510,0.023282,306.000000,309.000000,304.000000
14.443553,10.311883,4.009876,200.612491,53.867531,-0.180672,303.000000,308.000000,301.000000
14.456912,10.388382,4.020068,200.612491,52.873204,-0.180672,301.000000,304.000000,299.000000
